,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,index
30259,91118,DPW Maintained, Douglas Fir,215 Madison St,1.0,Sidewalk: Curb side : Cutout,Private,01/14/2009 12:00:00 AM,53,3x3,37.726355330411,-122.422632437432,1
24740,5725,DPW Maintained, Oriental Sweet Gum,1676 Dolores St,1.0,Sidewalk: Curb side : Cutout,DPW,,100,4X4,37.7425693811872,-122.424416284994,2
2575,25029,DPW Maintained, Date palm (species unknown),700X Dolores St,4.0,Median : Cutout,DPW,06/23/1997 12:00:00 AM,70,20,37.7579534017581,-122.425755575182,3
17810,25010,DPW Maintained, California Fan Palm,500X Dolores St,4.0,Median : Cutout,DPW,,50,20,37.7614127588524,-122.426181340905,4
34444,24969,DPW Maintained, California Fan Palm,198 Dolores St,10.0,Median : Cutout,DPW,,50,20,37.766240805753604,-122.426624291348,5
8822,10596,DPW Maintained, Bloodgood London Plane,1098 Harrison St,7.0,Sidewalk: Curb side : Cutout,DPW,,125,3X3,37.775799138353705,-122.406077023861,6
23274,91782,DPW Maintained, Bloodgood London Plane,1098 Harrison St,4.0,Sidewalk: Curb side : Cutout,Private,03/07/2007 12:00:00 AM,80,3x3,37.776063263843795,-122.40576716423901,7
15934,13123,DPW Maintained, False Avocado,1671 Lombard St,1.0,Sidewalk: Curb side : Cutout,DPW,,100,3X3,37.8005850211999,-122.428873735983,8
6899,14543,DPW Maintained, Chilean Soapbark,736 Masonic Ave,1.0,Sidewalk: Curb side : Cutout,DPW,,100,3X3,37.7742360610429,-122.44594294328002,9
28178,113379,Property Tree, European Beech,140 CASTENADA AVE,1.0,Front Yard : Yard,Private,,50,,37.7488926059174,-122.462041158848,10
